suburb,livable,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
RESERVOIR,27.85000000000001,33.0,1.0,9.0,2.0,1.0,0.0,0.0,317.0,302.0,11.0,4.0
FRANKSTON,26.499999999999996,36.0,3.0,24.0,4.0,1.0,0.0,0.0,217.0,215.0,0.0,2.0
BERWICK,23.7,32.0,2.0,18.0,3.0,1.0,0.0,0.0,210.0,209.0,0.0,1.0
WERRIBEE,23.2,27.0,1.0,18.0,4.0,1.0,0.0,0.0,229.0,227.0,0.0,2.0
PRESTON,22.199999999999996,33.0,4.0,4.0,3.0,2.0,0.0,0.0,207.0,165.0,40.0,2.0
MELBOURNE,21.549999999999997,20.0,14.0,23.0,3.0,2.0,0.0,0.0,184.0,54.0,127.0,3.0
SUNBURY,21.0,23.0,2.0,14.0,1.0,1.0,0.0,0.0,228.0,227.0,0.0,1.0
MORNINGTON,20.849999999999998,19.0,2.0,62.0,1.0,1.0,0.0,0.0,106.0,106.0,0.0,0.0
CROYDON,19.35,25.0,2.0,24.0,1.0,1.0,0.0,0.0,153.0,152.0,0.0,1.0
COBURG,18.45,23.0,2.0,22.0,4.0,1.0,0.0,0.0,143.0,105.0,36.0,2.0
KEW,17.85,25.0,3.0,21.0,6.0,1.0,0.0,0.0,115.0,68.0,47.0,0.0
WODONGA,16.9,19.0,1.0,70.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HOPPERS CROSSING,16.75,25.0,0.0,3.0,2.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0
EPPING,16.15,23.0,0.0,3.0,2.0,1.0,0.0,0.0,166.0,164.0,0.0,2.0
FOOTSCRAY,15.999999999999998,24.0,2.0,14.0,2.0,1.0,0.0,0.0,117.0,99.0,15.0,3.0
ENDEAVOUR HILLS,15.9,24.0,1.0,13.0,2.0,0.0,0.0,0.0,126.0,126.0,0.0,0.0
DANDENONG,15.899999999999999,15.0,3.0,16.0,4.0,1.0,0.0,0.0,156.0,155.0,0.0,1.0
CRAIGIEBURN,15.85,22.0,0.0,6.0,1.0,0.0,0.0,0.0,163.0,162.0,0.0,1.0
FERNTREE GULLY,15.849999999999998,21.0,3.0,11.0,4.0,1.0,0.0,0.0,134.0,133.0,0.0,1.0
PAKENHAM,15.75,26.0,1.0,3.0,1.0,1.0,0.0,0.0,140.0,138.0,0.0,2.0
RINGWOOD,15.55,19.0,3.0,20.0,1.0,1.0,0.0,0.0,121.0,119.0,0.0,2.0
MILDURA,15.55,26.0,7.0,41.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ROWVILLE,15.55,21.0,0.0,11.0,2.0,0.0,0.0,0.0,146.0,146.0,0.0,0.0
MOUNT WAVERLEY,15.5,26.0,2.0,5.0,2.0,1.0,0.0,0.0,123.0,121.0,0.0,2.0
WARRNAMBOOL,15.099999999999998,34.0,3.0,23.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BRIGHTON,14.6,22.0,4.0,6.0,3.0,1.0,0.0,0.0,115.0,111.0,0.0,4.0
TARNEIT,14.3,13.0,0.0,20.0,0.0,0.0,0.0,0.0,148.0,148.0,0.0,0.0
BUNDOORA,14.100000000000001,20.0,3.0,7.0,1.0,0.0,0.0,0.0,129.0,105.0,24.0,0.0
CAMBERWELL,14.05,11.0,2.0,14.0,5.0,1.0,0.0,0.0,145.0,58.0,82.0,5.0
CHELTENHAM,13.850000000000001,16.0,3.0,5.0,5.0,1.0,0.0,0.0,138.0,136.0,0.0,2.0
BORONIA,13.85,21.0,2.0,5.0,3.0,1.0,0.0,0.0,118.0,117.0,0.0,1.0
GREENSBOROUGH,13.85,22.0,1.0,11.0,1.0,1.0,0.0,0.0,103.0,102.0,0.0,1.0
BENTLEIGH EAST,13.75,18.0,1.0,3.0,4.0,1.0,0.0,0.0,141.0,141.0,0.0,0.0
DONCASTER EAST,13.25,18.0,2.0,4.0,3.0,1.0,0.0,0.0,128.0,128.0,0.0,0.0
BRUNSWICK,12.95,12.0,1.0,19.0,4.0,2.0,0.0,0.0,108.0,76.0,29.0,3.0
SHEPPARTON,12.85,34.0,1.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BROADMEADOWS,12.7,23.0,2.0,4.0,2.0,1.0,0.0,0.0,89.0,88.0,0.0,1.0
ESSENDON,12.600000000000001,19.0,1.0,5.0,2.0,1.0,0.0,0.0,109.0,87.0,19.0,3.0
MOUNT MARTHA,12.5,7.0,1.0,42.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,0.0
GLENROY,12.2,18.0,1.0,12.0,1.0,1.0,0.0,0.0,89.0,86.0,0.0,3.0
KEYSBOROUGH,12.15,18.0,1.0,10.0,0.0,0.0,0.0,0.0,102.0,102.0,0.0,0.0
SEAFORD,11.950000000000001,15.0,1.0,16.0,1.0,1.0,0.0,0.0,91.0,89.0,0.0,2.0
BALWYN NORTH,11.900000000000002,15.0,1.0,11.0,1.0,0.0,0.0,0.0,109.0,96.0,13.0,0.0
MILL PARK,11.850000000000001,14.0,0.0,0.0,2.0,0.0,0.0,0.0,147.0,147.0,0.0,0.0
SPRINGVALE,11.65,21.0,1.0,3.0,1.0,1.0,0.0,0.0,88.0,86.0,0.0,2.0
NOBLE PARK,11.299999999999999,18.0,1.0,10.0,2.0,0.0,0.0,0.0,77.0,75.0,0.0,2.0
CORIO,11.25,24.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAWTHORN,11.2,13.0,1.0,18.0,2.0,1.0,0.0,0.0,78.0,22.0,53.0,3.0
WILLIAMSTOWN,11.2,9.0,14.0,19.0,2.0,1.0,0.0,0.0,61.0,59.0,0.0,2.0
GLEN IRIS,11.05,13.0,1.0,20.0,0.0,0.0,0.0,0.0,77.0,49.0,25.0,3.0
NORTHCOTE,11.0,11.0,1.0,12.0,0.0,1.0,0.0,0.0,108.0,73.0,30.0,5.0
MULGRAVE,11.0,15.0,3.0,1.0,1.0,0.0,0.0,0.0,115.0,115.0,0.0,0.0
ROSEBUD,10.8,8.0,2.0,19.0,0.0,1.0,0.0,0.0,103.0,103.0,0.0,0.0
SALE,10.75,24.0,3.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMPTON PARK,10.700000000000001,17.0,1.0,1.0,1.0,0.0,0.0,0.0,103.0,103.0,0.0,0.0
LILYDALE,10.649999999999999,14.0,2.0,2.0,1.0,1.0,0.0,0.0,111.0,110.0,0.0,1.0
MOOROOLBARK,10.5,21.0,1.0,3.0,1.0,1.0,0.0,0.0,66.0,65.0,0.0,1.0
BURWOOD,10.45,20.0,0.0,1.0,1.0,1.0,0.0,0.0,81.0,62.0,19.0,0.0
RICHMOND,10.4,19.0,2.0,6.0,2.0,1.0,0.0,0.0,59.0,6.0,50.0,3.0
YARRAVILLE,10.25,11.0,3.0,14.0,0.0,1.0,0.0,0.0,85.0,84.0,0.0,1.0
ST KILDA,10.2,10.0,5.0,8.0,2.0,1.0,0.0,0.0,97.0,36.0,61.0,0.0
DONCASTER,10.15,13.0,2.0,2.0,1.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0
THOMASTOWN,10.05,14.0,1.0,0.0,2.0,0.0,0.0,0.0,107.0,106.0,0.0,1.0
NEWPORT,9.9,12.0,2.0,19.0,0.0,1.0,0.0,0.0,59.0,57.0,0.0,2.0
SUNSHINE,9.85,11.0,1.0,12.0,0.0,0.0,0.0,0.0,91.0,90.0,0.0,1.0
MITCHAM,9.75,14.0,1.0,4.0,1.0,0.0,0.0,0.0,92.0,91.0,0.0,1.0
CARRUM DOWNS,9.75,13.0,0.0,3.0,1.0,0.0,0.0,0.0,105.0,105.0,0.0,0.0
LANGWARRIN,9.700000000000001,15.0,0.0,6.0,1.0,0.0,0.0,0.0,83.0,83.0,0.0,0.0
HAMILTON,9.55,25.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MENTONE,9.3,16.0,2.0,3.0,2.0,1.0,0.0,0.0,66.0,65.0,0.0,1.0
TEMPLESTOWE,9.3,8.0,0.0,5.0,2.0,0.0,0.0,0.0,117.0,117.0,0.0,0.0
ALTONA,9.3,10.0,2.0,17.0,1.0,0.0,0.0,0.0,64.0,62.0,0.0,2.0
CLAYTON,9.299999999999999,12.0,2.0,3.0,5.0,1.0,0.0,0.0,81.0,80.0,0.0,1.0
ELTHAM,9.25,12.0,1.0,14.0,4.0,1.0,0.0,0.0,53.0,52.0,0.0,1.0
THORNBURY,9.2,14.0,1.0,5.0,1.0,0.0,0.0,0.0,78.0,60.0,17.0,1.0
CRANBOURNE,9.149999999999999,16.0,2.0,2.0,3.0,1.0,0.0,0.0,63.0,62.0,0.0,1.0
MORWELL,8.95,21.0,1.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH YARRA,8.95,12.0,2.0,4.0,2.0,1.0,0.0,0.0,79.0,36.0,41.0,2.0
LALOR,8.850000000000001,15.0,0.0,1.0,1.0,0.0,0.0,0.0,80.0,79.0,0.0,1.0
TRARALGON,8.8,28.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWTOWN,8.7,16.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOX HILL,8.7,11.0,2.0,3.0,2.0,1.0,0.0,0.0,84.0,79.0,4.0,1.0
HILLSIDE,8.65,10.0,0.0,21.0,2.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0
WANGARATTA,8.5,21.0,1.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BALWYN,8.399999999999999,12.0,1.0,12.0,1.0,1.0,0.0,0.0,52.0,44.0,8.0,0.0
FAWKNER,8.35,12.0,1.0,2.0,2.0,1.0,0.0,0.0,78.0,78.0,0.0,0.0
MELTON,8.35,7.0,1.0,19.0,2.0,1.0,0.0,0.0,57.0,57.0,0.0,0.0
BRAYBROOK,8.35,15.0,1.0,9.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0
CARLTON,8.2,11.0,2.0,9.0,2.0,2.0,0.0,0.0,55.0,40.0,15.0,0.0
BRIGHTON EAST,8.05,13.0,0.0,6.0,0.0,0.0,0.0,0.0,65.0,55.0,10.0,0.0
SOUTH MORANG,8.000000000000002,10.0,0.0,1.0,0.0,0.0,1.0,0.0,97.0,95.0,0.0,2.0
BLACKBURN,8.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,77.0,75.0,0.0,2.0
ASCOT VALE,7.9,10.0,1.0,6.0,2.0,0.0,0.0,0.0,70.0,45.0,24.0,1.0
ALTONA MEADOWS,7.800000000000001,8.0,0.0,18.0,2.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0
TEMPLESTOWE LOWER,7.800000000000001,14.0,0.0,2.0,1.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0
NUNAWADING,7.8,12.0,1.0,3.0,0.0,1.0,0.0,0.0,69.0,68.0,0.0,1.0
IVANHOE,7.75,11.0,1.0,5.0,2.0,0.0,0.0,0.0,63.0,61.0,0.0,2.0
BEAUMARIS,7.699999999999999,12.0,1.0,5.0,1.0,1.0,0.0,0.0,59.0,59.0,0.0,0.0
DOVETON,7.65,13.0,0.0,11.0,1.0,1.0,0.0,0.0,37.0,37.0,0.0,0.0
MARIBYRNONG,7.6499999999999995,6.0,2.0,9.0,1.0,0.0,0.0,0.0,81.0,52.0,29.0,0.0
SOMERVILLE,7.6499999999999995,9.0,0.0,25.0,1.0,0.0,2.0,0.0,24.0,23.0,0.0,1.0
TOORAK,7.6,13.0,3.0,1.0,2.0,0.0,0.0,0.0,55.0,24.0,30.0,1.0
BAYSWATER,7.549999999999999,12.0,2.0,2.0,1.0,0.0,0.0,0.0,63.0,62.0,0.0,1.0
BULLEEN,7.549999999999999,13.0,2.0,3.0,2.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0
PORTLAND,7.45,14.0,6.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRUGANINA,7.300000000000001,9.0,0.0,8.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0
PASCOE VALE,7.3,10.0,0.0,8.0,0.0,0.0,0.0,0.0,61.0,60.0,0.0,1.0
KEILOR EAST,7.2,10.0,0.0,6.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0
SANDRINGHAM,7.199999999999999,12.0,1.0,5.0,2.0,1.0,0.0,0.0,45.0,44.0,0.0,1.0
KILSYTH,7.15,11.0,1.0,5.0,1.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0
MARYBOROUGH,7.15,14.0,2.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DIAMOND CREEK,7.1,12.0,0.0,6.0,2.0,1.0,0.0,0.0,43.0,42.0,0.0,1.0
TORQUAY,7.0,11.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GREENVALE,6.9,10.0,0.0,3.0,1.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0
BELMONT,6.8999999999999995,11.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOONEE PONDS,6.8500000000000005,6.0,1.0,5.0,1.0,1.0,0.0,0.0,77.0,56.0,20.0,1.0
WARRAGUL,6.85,15.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DOREEN,6.700000000000001,7.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0
BURWOOD EAST,6.7,10.0,0.0,3.0,0.0,0.0,0.0,0.0,65.0,52.0,13.0,0.0
HAMPTON,6.699999999999999,7.0,1.0,4.0,3.0,0.0,0.0,0.0,67.0,66.0,0.0,1.0
DONVALE,6.65,11.0,0.0,3.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0
ELSTERNWICK,6.65,12.0,1.0,0.0,0.0,1.0,0.0,0.0,55.0,41.0,13.0,1.0
ARMADALE,6.6,10.0,1.0,1.0,3.0,0.0,0.0,0.0,55.0,23.0,30.0,2.0
HASTINGS,6.550000000000001,7.0,2.0,16.0,2.0,1.0,0.0,0.0,26.0,25.0,0.0,1.0
SOUTH MELBOURNE,6.550000000000001,9.0,3.0,4.0,1.0,2.0,0.0,0.0,49.0,17.0,32.0,0.0
BRUNSWICK EAST,6.5,5.0,1.0,15.0,0.0,0.0,0.0,0.0,52.0,33.0,19.0,0.0
HIGHTON,6.449999999999999,11.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYE,6.449999999999999,3.0,2.0,10.0,0.0,1.0,0.0,0.0,73.0,73.0,0.0,0.0
LAVERTON,6.3999999999999995,10.0,1.0,12.0,1.0,1.0,0.0,0.0,22.0,20.0,0.0,2.0
MALVERN,6.3,9.0,0.0,5.0,1.0,1.0,0.0,0.0,50.0,1.0,47.0,2.0
DROMANA,6.250000000000001,4.0,2.0,14.0,0.0,1.0,0.0,0.0,51.0,51.0,0.0,0.0
FRANKSTON NORTH,6.25,11.0,0.0,6.0,1.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0
BAIRNSDALE,6.25,13.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOUNT EVELYN,6.199999999999999,12.0,0.0,2.0,0.0,1.0,0.0,0.0,44.0,44.0,0.0,0.0
PARKVILLE,6.15,4.0,3.0,5.0,6.0,1.0,0.0,0.0,54.0,24.0,29.0,1.0
SYDENHAM,6.15,11.0,0.0,7.0,2.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0
OAKLEIGH SOUTH,6.15,7.0,0.0,2.0,1.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0
WANTIRNA,6.1499999999999995,11.0,1.0,2.0,1.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0
ECHUCA,6.1,15.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEALESVILLE,6.050000000000001,8.0,1.0,8.0,1.0,1.0,0.0,0.0,41.0,41.0,0.0,0.0
BENDIGO,6.05,15.0,2.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CANTERBURY,6.05,11.0,1.0,9.0,1.0,0.0,0.0,0.0,21.0,19.0,1.0,1.0
WENDOUREE,6.0,16.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORLANE,5.949999999999999,13.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ELWOOD,5.9,9.0,1.0,5.0,0.0,1.0,0.0,0.0,44.0,39.0,5.0,0.0
BENTLEIGH,5.9,8.0,2.0,0.0,2.0,1.0,0.0,0.0,54.0,52.0,0.0,2.0
OAKLEIGH,5.9,6.0,3.0,0.0,2.0,1.0,0.0,0.0,63.0,61.0,0.0,2.0
DINGLEY VILLAGE,5.8500000000000005,6.0,0.0,6.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0
MORDIALLOC,5.85,5.0,2.0,8.0,2.0,1.0,0.0,0.0,48.0,47.0,0.0,1.0
AIRPORT WEST,5.85,7.0,1.0,2.0,2.0,0.0,0.0,0.0,60.0,49.0,11.0,0.0
FITZROY,5.800000000000001,10.0,1.0,1.0,4.0,1.0,0.0,0.0,36.0,8.0,28.0,0.0
SORRENTO,5.75,3.0,2.0,14.0,0.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0
HEATHMONT,5.699999999999999,9.0,0.0,9.0,4.0,0.0,0.0,0.0,20.0,19.0,0.0,1.0
ASHBURTON,5.65,8.0,1.0,10.0,0.0,1.0,0.0,0.0,28.0,26.0,0.0,2.0
ARARAT,5.6499999999999995,11.0,3.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BOX HILL NORTH,5.6,7.0,0.0,3.0,1.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0
HORSHAM,5.550000000000001,13.0,1.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
VERMONT,5.550000000000001,8.0,1.0,3.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0
MALLACOOTA,5.5,4.0,5.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOORABBIN,5.5,8.0,0.0,2.0,0.0,1.0,0.0,0.0,53.0,52.0,0.0,1.0
STAWELL,5.35,14.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOE,5.35,14.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DALLAS,5.35,13.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
BENALLA,5.35,13.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EAST MELBOURNE,5.25,2.0,1.0,17.0,1.0,1.0,0.0,0.0,32.0,9.0,21.0,2.0
CARNEGIE,5.2,5.0,2.0,1.0,1.0,0.0,0.0,0.0,60.0,46.0,12.0,2.0
KEILOR DOWNS,5.2,6.0,0.0,7.0,1.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0
DOCKLANDS,5.1,3.0,4.0,7.0,1.0,1.0,0.0,0.0,45.0,16.0,28.0,1.0
MERNDA,5.050000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,63.0,0.0,1.0
SCORESBY,5.050000000000001,5.0,1.0,5.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0
HALLAM,5.05,6.0,0.0,2.0,1.0,0.0,0.0,0.0,55.0,54.0,0.0,1.0
MURRUMBEENA,5.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,49.0,48.0,0.0,1.0
ORMOND,4.949999999999999,9.0,1.0,2.0,0.0,0.0,0.0,0.0,35.0,34.0,0.0,1.0
OCEAN GROVE,4.9,8.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LARA,4.9,7.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MAIDSTONE,4.9,4.0,0.0,11.0,1.0,1.0,0.0,0.0,36.0,35.0,1.0,0.0
KYABRAM,4.9,14.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STRATHMORE,4.8,8.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0
MONTMORENCY,4.699999999999999,9.0,0.0,2.0,1.0,0.0,0.0,0.0,30.0,29.0,0.0,1.0
ALBERT PARK,4.65,7.0,2.0,5.0,1.0,0.0,0.0,0.0,27.0,8.0,19.0,0.0
