suburb,livable,UNIVERSITY,Commercial,Environment,Medication,Secrity,Transportation,BUS,TRAM STATION,TRAIN STATION
MELBOURNE,22.3,0.0,14.0,23.0,3.0,2.0,184.0,54.0,127.0,3.0
RESERVOIR,17.750000000000004,0.0,1.0,9.0,2.0,1.0,317.0,302.0,11.0,4.0
FRANKSTON,14.4,0.0,3.0,24.0,4.0,1.0,217.0,215.0,0.0,2.0
PRESTON,14.200000000000001,0.0,4.0,4.0,3.0,2.0,207.0,165.0,40.0,2.0
WERRIBEE,14.100000000000001,1.0,1.0,18.0,4.0,1.0,229.0,227.0,0.0,2.0
CAMBERWELL,13.650000000000002,0.0,2.0,14.0,5.0,1.0,145.0,58.0,82.0,5.0
SUNBURY,13.500000000000004,0.0,2.0,14.0,1.0,1.0,228.0,227.0,0.0,1.0
BERWICK,13.100000000000003,0.0,2.0,18.0,3.0,1.0,210.0,209.0,0.0,1.0
MORNINGTON,12.2,0.0,2.0,62.0,1.0,1.0,106.0,106.0,0.0,0.0
COBURG,12.0,0.0,2.0,22.0,4.0,1.0,143.0,105.0,36.0,2.0
KEW,11.450000000000001,0.0,3.0,21.0,6.0,1.0,115.0,68.0,47.0,0.0
CROYDON,10.750000000000002,0.0,2.0,24.0,1.0,1.0,153.0,152.0,0.0,1.0
DANDENONG,10.549999999999999,0.0,3.0,16.0,4.0,1.0,156.0,155.0,0.0,1.0
ST KILDA,10.350000000000001,0.0,5.0,8.0,2.0,1.0,97.0,36.0,61.0,0.0
FOOTSCRAY,9.950000000000001,4.0,2.0,14.0,2.0,1.0,117.0,99.0,15.0,3.0
BUNDOORA,9.600000000000001,1.0,3.0,7.0,1.0,0.0,129.0,105.0,24.0,0.0
TARNEIT,9.4,0.0,0.0,20.0,0.0,0.0,148.0,148.0,0.0,0.0
BRUNSWICK,9.35,0.0,1.0,19.0,4.0,2.0,108.0,76.0,29.0,3.0
WILLIAMSTOWN,9.299999999999999,0.0,14.0,19.0,2.0,1.0,61.0,59.0,0.0,2.0
RINGWOOD,9.05,0.0,3.0,20.0,1.0,1.0,121.0,119.0,0.0,2.0
FERNTREE GULLY,8.950000000000001,0.0,3.0,11.0,4.0,1.0,134.0,133.0,0.0,1.0
HOPPERS CROSSING,8.9,0.0,0.0,3.0,2.0,0.0,170.0,170.0,0.0,0.0
CRAIGIEBURN,8.8,0.0,0.0,6.0,1.0,0.0,163.0,162.0,0.0,1.0
HAWTHORN,8.8,0.0,1.0,18.0,2.0,1.0,78.0,22.0,53.0,3.0
EPPING,8.750000000000002,0.0,0.0,3.0,2.0,1.0,166.0,164.0,0.0,2.0
CHELTENHAM,8.600000000000001,0.0,3.0,5.0,5.0,1.0,138.0,136.0,0.0,2.0
ROWVILLE,8.5,0.0,0.0,11.0,2.0,0.0,146.0,146.0,0.0,0.0
NORTHCOTE,8.45,0.0,1.0,12.0,0.0,1.0,108.0,73.0,30.0,5.0
MOUNT MARTHA,8.45,0.0,1.0,42.0,0.0,0.0,79.0,79.0,0.0,0.0
ENDEAVOUR HILLS,8.0,0.0,1.0,13.0,2.0,0.0,126.0,126.0,0.0,0.0
BENTLEIGH EAST,7.9,0.0,1.0,3.0,4.0,1.0,141.0,141.0,0.0,0.0
BRIGHTON,7.750000000000002,0.0,4.0,6.0,3.0,1.0,115.0,111.0,0.0,4.0
PAKENHAM,7.7,0.0,1.0,3.0,1.0,1.0,140.0,138.0,0.0,2.0
ROSEBUD,7.7,0.0,2.0,19.0,0.0,1.0,103.0,103.0,0.0,0.0
DONCASTER EAST,7.6000000000000005,0.0,2.0,4.0,3.0,1.0,128.0,128.0,0.0,0.0
BALWYN NORTH,7.550000000000001,0.0,1.0,11.0,1.0,0.0,109.0,96.0,13.0,0.0
WODONGA,7.5,0.0,1.0,70.0,3.0,1.0,0.0,0.0,0.0,0.0
MILL PARK,7.45,0.0,0.0,0.0,2.0,0.0,147.0,147.0,0.0,0.0
MOUNT WAVERLEY,7.4,0.0,2.0,5.0,2.0,1.0,123.0,121.0,0.0,2.0
GLEN IRIS,7.4,0.0,1.0,20.0,0.0,0.0,77.0,49.0,25.0,3.0
ESSENDON,7.3500000000000005,0.0,1.0,5.0,2.0,1.0,109.0,87.0,19.0,3.0
BORONIA,7.200000000000001,0.0,2.0,5.0,3.0,1.0,118.0,117.0,0.0,1.0
SOUTH YARRA,7.15,0.0,2.0,4.0,2.0,1.0,79.0,36.0,41.0,2.0
MARIBYRNONG,7.050000000000001,0.0,2.0,9.0,1.0,0.0,81.0,52.0,29.0,0.0
MULGRAVE,6.8,0.0,3.0,1.0,1.0,0.0,115.0,115.0,0.0,0.0
RICHMOND,6.799999999999999,0.0,2.0,6.0,2.0,1.0,59.0,6.0,50.0,3.0
GREENSBOROUGH,6.65,0.0,1.0,11.0,1.0,1.0,103.0,102.0,0.0,1.0
YARRAVILLE,6.6000000000000005,0.0,3.0,14.0,0.0,1.0,85.0,84.0,0.0,1.0
SEAFORD,6.550000000000001,0.0,1.0,16.0,1.0,1.0,91.0,89.0,0.0,2.0
TEMPLESTOWE,6.45,0.0,0.0,5.0,2.0,0.0,117.0,117.0,0.0,0.0
LILYDALE,6.45,0.0,2.0,2.0,1.0,1.0,111.0,110.0,0.0,1.0
MILDURA,6.4,0.0,7.0,41.0,3.0,1.0,0.0,0.0,0.0,0.0
KEYSBOROUGH,6.4,0.0,1.0,10.0,0.0,0.0,102.0,102.0,0.0,0.0
DONCASTER,6.35,0.0,2.0,2.0,1.0,0.0,110.0,110.0,0.0,0.0
PARKVILLE,6.2,1.0,3.0,5.0,6.0,1.0,54.0,24.0,29.0,1.0
GLENROY,6.05,0.0,1.0,12.0,1.0,1.0,89.0,86.0,0.0,3.0
SUNSHINE,6.05,0.0,1.0,12.0,0.0,0.0,91.0,90.0,0.0,1.0
CARLTON,5.8,2.0,2.0,9.0,2.0,2.0,55.0,40.0,15.0,0.0
NEWPORT,5.8,1.0,2.0,19.0,0.0,1.0,59.0,57.0,0.0,2.0
THOMASTOWN,5.75,0.0,1.0,0.0,2.0,0.0,107.0,106.0,0.0,1.0
MOONEE PONDS,5.75,0.0,1.0,5.0,1.0,1.0,77.0,56.0,20.0,1.0
ASCOT VALE,5.699999999999999,0.0,1.0,6.0,2.0,0.0,70.0,45.0,24.0,1.0
DOCKLANDS,5.6499999999999995,0.0,4.0,7.0,1.0,1.0,45.0,16.0,28.0,1.0
THORNBURY,5.6000000000000005,0.0,1.0,5.0,1.0,0.0,78.0,60.0,17.0,1.0
BROADMEADOWS,5.6000000000000005,0.0,2.0,4.0,2.0,1.0,89.0,88.0,0.0,1.0
CARRUM DOWNS,5.6,0.0,0.0,3.0,1.0,0.0,105.0,105.0,0.0,0.0
HAMPTON PARK,5.6,0.0,1.0,1.0,1.0,0.0,103.0,103.0,0.0,0.0
ALTONA,5.55,0.0,2.0,17.0,1.0,0.0,64.0,62.0,0.0,2.0
SOUTH MELBOURNE,5.5,0.0,3.0,4.0,1.0,2.0,49.0,17.0,32.0,0.0
MALVERN,5.45,0.0,0.0,5.0,1.0,1.0,50.0,1.0,47.0,2.0
BOX HILL,5.45,0.0,2.0,3.0,2.0,1.0,84.0,79.0,4.0,1.0
BRUNSWICK EAST,5.3500000000000005,0.0,1.0,15.0,0.0,0.0,52.0,33.0,19.0,0.0
TOORAK,5.35,0.0,3.0,1.0,2.0,0.0,55.0,24.0,30.0,1.0
MITCHAM,5.35,0.0,1.0,4.0,1.0,0.0,92.0,91.0,0.0,1.0
RYE,5.3,0.0,2.0,10.0,0.0,1.0,73.0,73.0,0.0,0.0
NOBLE PARK,5.25,0.0,1.0,10.0,2.0,0.0,77.0,75.0,0.0,2.0
CLAYTON,5.25,0.0,2.0,3.0,5.0,1.0,81.0,80.0,0.0,1.0
MELTON,5.2,0.0,1.0,19.0,2.0,1.0,57.0,57.0,0.0,0.0
BURWOOD,5.199999999999999,0.0,0.0,1.0,1.0,1.0,81.0,62.0,19.0,0.0
BLACKBURN,5.15,0.0,2.0,7.0,0.0,0.0,77.0,75.0,0.0,2.0
SPRINGVALE,5.1,0.0,1.0,3.0,1.0,1.0,88.0,86.0,0.0,2.0
SOUTH MORANG,4.949999999999999,0.0,0.0,1.0,0.0,0.0,97.0,95.0,0.0,2.0
LANGWARRIN,4.800000000000001,0.0,0.0,6.0,1.0,0.0,83.0,83.0,0.0,0.0
ARMADALE,4.800000000000001,0.0,1.0,1.0,3.0,0.0,55.0,23.0,30.0,2.0
EAST MELBOURNE,4.75,0.0,1.0,17.0,1.0,1.0,32.0,9.0,21.0,2.0
DROMANA,4.6000000000000005,0.0,2.0,14.0,0.0,1.0,51.0,51.0,0.0,0.0
ELTHAM,4.6000000000000005,0.0,1.0,14.0,4.0,1.0,53.0,52.0,0.0,1.0
BALWYN,4.6,0.0,1.0,12.0,1.0,1.0,52.0,44.0,8.0,0.0
FAWKNER,4.55,0.0,1.0,2.0,2.0,1.0,78.0,78.0,0.0,0.0
DOREEN,4.5,0.0,0.0,0.0,1.0,0.0,89.0,89.0,0.0,0.0
SORRENTO,4.4,0.0,2.0,14.0,0.0,1.0,47.0,47.0,0.0,0.0
HILLSIDE,4.4,0.0,0.0,21.0,2.0,0.0,44.0,44.0,0.0,0.0
CARNEGIE,4.35,0.0,2.0,1.0,1.0,0.0,60.0,46.0,12.0,2.0
BRIGHTON EAST,4.35,0.0,0.0,6.0,0.0,0.0,65.0,55.0,10.0,0.0
MENTONE,4.35,0.0,2.0,3.0,2.0,1.0,66.0,65.0,0.0,1.0
ALTONA MEADOWS,4.300000000000001,0.0,0.0,18.0,2.0,0.0,48.0,48.0,0.0,0.0
BURWOOD EAST,4.2,0.0,0.0,3.0,0.0,0.0,65.0,52.0,13.0,0.0
HAMPTON,4.2,0.0,1.0,4.0,3.0,0.0,67.0,66.0,0.0,1.0
TRUGANINA,4.2,0.0,0.0,8.0,0.0,0.0,68.0,68.0,0.0,0.0
OAKLEIGH,4.199999999999999,0.0,3.0,0.0,2.0,1.0,63.0,61.0,0.0,2.0
AIRPORT WEST,4.15,0.0,1.0,2.0,2.0,0.0,60.0,49.0,11.0,0.0
CRANBOURNE,4.1499999999999995,0.0,2.0,2.0,3.0,1.0,63.0,62.0,0.0,1.0
LALOR,4.1499999999999995,0.0,0.0,1.0,1.0,0.0,80.0,79.0,0.0,1.0
NUNAWADING,4.1000000000000005,0.0,1.0,3.0,0.0,1.0,69.0,68.0,0.0,1.0
IVANHOE,4.050000000000001,0.0,1.0,5.0,2.0,0.0,63.0,61.0,0.0,2.0
BAYSWATER,4.0,0.0,2.0,2.0,1.0,0.0,63.0,62.0,0.0,1.0
MOOROOLBARK,4.0,0.0,1.0,3.0,1.0,1.0,66.0,65.0,0.0,1.0
MORDIALLOC,3.95,0.0,2.0,8.0,2.0,1.0,48.0,47.0,0.0,1.0
CAULFIELD,3.95,0.0,1.0,0.0,4.0,1.0,47.0,26.0,21.0,0.0
KEILOR EAST,3.9000000000000004,0.0,0.0,6.0,0.0,0.0,66.0,66.0,0.0,0.0
SOUTHBANK,3.9,0.0,1.0,4.0,1.0,0.0,37.0,11.0,26.0,0.0
MALLACOOTA,3.8500000000000005,0.0,5.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0
OAKLEIGH SOUTH,3.85,0.0,0.0,2.0,1.0,0.0,72.0,72.0,0.0,0.0
FITZROY,3.85,0.0,1.0,1.0,4.0,1.0,36.0,8.0,28.0,0.0
PASCOE VALE,3.8499999999999996,0.0,0.0,8.0,0.0,0.0,61.0,60.0,0.0,1.0
BEAUMARIS,3.8499999999999996,0.0,1.0,5.0,1.0,1.0,59.0,59.0,0.0,0.0
DINGLEY VILLAGE,3.7500000000000004,0.0,0.0,6.0,0.0,0.0,63.0,63.0,0.0,0.0
ELSTERNWICK,3.75,0.0,1.0,0.0,0.0,1.0,55.0,41.0,13.0,1.0
SOMERVILLE,3.75,0.0,0.0,25.0,1.0,0.0,24.0,23.0,0.0,1.0
GREENVALE,3.6500000000000004,0.0,0.0,3.0,1.0,0.0,66.0,66.0,0.0,0.0
HASTINGS,3.65,0.0,2.0,16.0,2.0,1.0,26.0,25.0,0.0,1.0
KILSYTH,3.65,0.0,1.0,5.0,1.0,0.0,56.0,56.0,0.0,0.0
BULLEEN,3.6000000000000005,0.0,2.0,3.0,2.0,0.0,52.0,52.0,0.0,0.0
WEST MELBOURNE,3.5500000000000003,0.0,3.0,5.0,0.0,0.0,36.0,28.0,7.0,1.0
WARRNAMBOOL,3.5500000000000003,0.0,3.0,23.0,6.0,1.0,0.0,0.0,0.0,0.0
PRAHRAN,3.55,0.0,1.0,0.0,1.0,0.0,39.0,13.0,25.0,1.0
BRAYBROOK,3.55,0.0,1.0,9.0,0.0,0.0,47.0,47.0,0.0,0.0
SCORESBY,3.45,0.0,1.0,5.0,0.0,0.0,53.0,53.0,0.0,0.0
ALBERT PARK,3.45,0.0,2.0,5.0,1.0,0.0,27.0,8.0,19.0,0.0
BENTLEIGH,3.4499999999999997,0.0,2.0,0.0,2.0,1.0,54.0,52.0,0.0,2.0
TEMPLESTOWE LOWER,3.4000000000000004,0.0,0.0,2.0,1.0,0.0,63.0,63.0,0.0,0.0
ELWOOD,3.3,0.0,1.0,5.0,0.0,1.0,44.0,39.0,5.0,0.0
PORTLAND,3.3,0.0,6.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0
BOX HILL NORTH,3.25,0.0,0.0,3.0,1.0,0.0,58.0,58.0,0.0,0.0
CARLTON NORTH,3.25,0.0,1.0,3.0,0.0,0.0,37.0,21.0,16.0,0.0
TULLAMARINE,3.25,0.0,1.0,2.0,0.0,0.0,55.0,55.0,0.0,0.0
HEALESVILLE,3.25,0.0,1.0,8.0,1.0,1.0,41.0,41.0,0.0,0.0
MERNDA,3.2,0.0,0.0,0.0,0.0,0.0,64.0,63.0,0.0,1.0
SANDRINGHAM,3.2,0.0,1.0,5.0,2.0,1.0,45.0,44.0,0.0,1.0
DONVALE,3.2,0.0,0.0,3.0,0.0,0.0,58.0,58.0,0.0,0.0
VERMONT,3.1500000000000004,0.0,1.0,3.0,0.0,0.0,51.0,51.0,0.0,0.0
MURRUMBEENA,3.1000000000000005,0.0,1.0,3.0,0.0,1.0,49.0,48.0,0.0,1.0
DOVETON,3.0500000000000003,0.0,0.0,11.0,1.0,1.0,37.0,37.0,0.0,0.0
CORIO,3.0500000000000003,0.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0
MAIDSTONE,3.0500000000000003,0.0,0.0,11.0,1.0,1.0,36.0,35.0,1.0,0.0
KNOXFIELD,3.0,0.0,0.0,3.0,1.0,0.0,53.0,53.0,0.0,0.0
HALLAM,3.0,0.0,0.0,2.0,1.0,0.0,55.0,54.0,0.0,1.0
KEW EAST,3.0,0.0,1.0,4.0,0.0,0.0,37.0,28.0,9.0,0.0
BLAIRGOWRIE,2.95,0.0,0.0,16.0,0.0,0.0,27.0,27.0,0.0,0.0
SALE,2.95,0.0,3.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
KEILOR DOWNS,2.95,0.0,0.0,7.0,1.0,0.0,44.0,44.0,0.0,0.0
KURUNJANG,2.9000000000000004,0.0,0.0,10.0,1.0,0.0,37.0,37.0,0.0,0.0
MOORABBIN,2.9,0.0,0.0,2.0,0.0,1.0,53.0,52.0,0.0,1.0
DIAMOND CREEK,2.9,0.0,0.0,6.0,2.0,1.0,43.0,42.0,0.0,1.0
WANTIRNA,2.8,0.0,1.0,2.0,1.0,0.0,45.0,45.0,0.0,0.0
GEELONG,2.8,0.0,6.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0
HIGHETT,2.8,0.0,1.0,3.0,0.0,0.0,44.0,43.0,0.0,1.0
HARKNESS,2.75,0.0,0.0,9.0,0.0,0.0,37.0,37.0,0.0,0.0
ASHBURTON,2.75,0.0,1.0,10.0,0.0,1.0,28.0,26.0,0.0,2.0
WARRANDYTE,2.75,0.0,0.0,3.0,1.0,1.0,47.0,47.0,0.0,0.0
LAVERTON,2.7,0.0,1.0,12.0,1.0,1.0,22.0,20.0,0.0,2.0
ROSANNA,2.7,0.0,1.0,2.0,1.0,0.0,43.0,42.0,0.0,1.0
CHIRNSIDE PARK,2.7,0.0,0.0,2.0,1.0,0.0,49.0,49.0,0.0,0.0
HADFIELD,2.6999999999999997,0.0,0.0,5.0,0.0,0.0,44.0,43.0,0.0,1.0
PORTSEA,2.6500000000000004,0.0,1.0,17.0,0.0,0.0,13.0,13.0,0.0,0.0
KENSINGTON,2.6,0.0,0.0,9.0,3.0,0.0,26.0,19.0,5.0,2.0
ABBOTSFORD,2.6,0.0,2.0,1.0,0.0,1.0,26.0,13.0,11.0,2.0
NEWTOWN,2.6,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPEL SOUND,2.5999999999999996,0.0,0.0,4.0,1.0,0.0,43.0,43.0,0.0,0.0
BELMONT,2.5500000000000003,0.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
FRANKSTON NORTH,2.5500000000000003,0.0,0.0,6.0,1.0,0.0,38.0,38.0,0.0,0.0
FAIRFIELD,2.5500000000000003,0.0,1.0,1.0,2.0,0.0,41.0,40.0,0.0,1.0
SOMERS,2.5500000000000003,0.0,0.0,14.0,0.0,0.0,23.0,23.0,0.0,0.0
AVONDALE HEIGHTS,2.55,0.0,1.0,1.0,0.0,1.0,42.0,42.0,0.0,0.0
TORQUAY,2.45,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0
MOUNT EVELYN,2.45,0.0,0.0,2.0,0.0,1.0,44.0,44.0,0.0,0.0
HEIDELBERG,2.4000000000000004,0.0,1.0,6.0,2.0,1.0,27.0,26.0,0.0,1.0
MONTROSE,2.4,0.0,0.0,4.0,0.0,0.0,40.0,40.0,0.0,0.0
